Experiment,Model,beta,gamma,sigma,xi,NRMSE_S,NRMSE_E,NRMSE_I,NRMSE_R,Pearson_S,Pearson_E,Pearson_I,Pearson_R,,,,
small_simple,SIRS,0.2,0.6,0,0.3,0.008787588,7.695116778,0.003688117,0.006230697,0.875151486,nan,0.93082955,0.790994817,,,,
small_simple,SIRS,0.2,0.6,0,0.4,0.004899077,7.695116778,0.002551527,0.003071902,0.973635397,nan,0.971109469,0.96812402,,,,
small_simple,SIRS,0.2,0.6,0,0.5,0.005631666,7.695116778,0.00205811,0.00411843,0.936354511,nan,0.982005196,0.814751957,,,,
small_simple,SIRS,0.2,0.6,0,0.6,0.007655216,7.695116778,0.004198653,0.003961097,0.85903516,nan,0.907823818,0.813010533,,,,
small_simple,SIRS,0.2,0.6,0,0.7,0.006721815,7.695116778,0.003219618,0.003580122,0.885561048,nan,0.948699624,0.869831274,,,,
small_simple,SIRS,0.2,0.6,0,0.8,0.007594963,7.695116778,0.003670589,0.004136442,0.834465029,nan,0.93348883,0.638577535,,,,
small_simple,SIRS,0.2,0.6,0,0.9,0.006331004,7.695116778,0.002512004,0.003875861,0.890273057,nan,0.97170655,0.709454922,,,,
small_simple,SIRS,0.2,0.6,0,1,0.00633879,7.695116778,0.002682202,0.003762107,0.875575281,nan,0.96347202,nan,,,,
small_simple,SIRS,0.2,0.7,0,0.1,0.008182499,7.695116778,0.003767976,0.007421472,0.969175792,nan,0.916254008,0.941894412,,,,
small_simple,SIRS,0.2,0.7,0,0.2,0.005207167,7.695116778,0.002751505,0.003749719,0.977958955,nan,0.95889708,0.969796701,,,,
small_simple,SIRS,0.2,0.7,0,0.3,0.005481294,7.695116778,0.00367759,0.003669734,0.966147345,nan,0.921085738,0.936746566,,,,
small_simple,SIRS,0.2,0.7,0,0.4,0.004931885,7.695116778,0.002397186,0.00293353,0.963630056,nan,0.969149591,0.972496673,,,,
