Experiment,Model,beta,gamma,sigma,xi,NRMSE_S,NRMSE_E,NRMSE_I,NRMSE_R,Pearson_S,Pearson_E,Pearson_I,Pearson_R,
large_complex,SIRS,0.2,0.8,0,0.2,0.003033883,0.855012975,0.001761548,0.00235355,0.970284621,nan,0.919074389,0.945452685,
large_complex,SIRS,0.2,0.8,0,0.3,0.003146112,0.855012975,0.001540365,0.002246935,0.94403864,nan,0.939578282,0.919562786,
large_complex,SIRS,0.2,0.8,0,0.4,0.003219079,0.855012975,0.001614076,0.00206992,0.921670279,nan,0.932919629,0.902191199,
large_complex,SIRS,0.2,0.8,0,0.5,0.003357338,0.855012975,0.001560678,0.002082892,0.895037506,nan,0.938085632,0.89186951,
large_complex,SIRS,0.2,0.8,0,0.6,0.00353838,0.855012975,0.0018638,0.001986903,0.857317067,nan,0.908496374,0.837054743,
large_complex,SIRS,0.2,0.8,0,0.7,0.00344221,0.855012975,0.00163071,0.001966309,0.849236721,nan,0.932365721,0.812707354,
large_complex,SIRS,0.2,0.8,0,0.8,0.003435896,0.855012975,0.001673484,0.001859133,0.835494732,nan,0.928615459,0.82558116,
large_complex,SIRS,0.2,0.8,0,0.9,0.003545719,0.855012975,0.001746283,0.001856878,0.805928073,nan,0.921436544,0.77668438,
large_complex,SIRS,0.2,0.8,0,1,0.003669966,0.855012975,0.001700036,0.001992109,0.773197835,nan,0.925967655,nan,
large_complex,SIRS,0.2,0.9,0,0.1,0.003364564,0.855012975,0.001843187,0.003047,0.985493892,nan,0.902059841,0.966106803,
large_complex,SIRS,0.2,0.9,0,0.2,0.00319172,0.855012975,0.001812896,0.00256473,0.964438351,nan,0.905532877,0.936083943,
large_complex,SIRS,0.2,0.9,0,0.3,0.002941192,0.855012975,0.001849304,0.002076389,0.953269898,nan,0.90160156,0.925082961,
large_complex,SIRS,0.2,0.9,0,0.4,0.002903198,0.855012975,0.001666574,0.001947329,0.934489588,nan,0.921818943,0.900823093,
large_complex,SIRS,0.2,0.9,0,0.5,0.003464237,0.855012975,0.001870401,0.002117837,0.871709378,nan,0.899889509,0.846466546,
large_complex,SIRS,0.2,0.9,0,0.6,0.003094108,0.855012975,0.001756412,0.001816768,0.886185317,nan,0.912999764,0.828472674,
large_complex,SIRS,0.2,0.9,0,0.7,0.003466503,0.855012975,0.001749392,0.001950242,0.828904322,nan,0.913906783,0.800923591,
large_complex,SIRS,0.2,0.9,0,0.8,0.003332226,0.855012975,0.001694251,0.00178671,0.830326182,nan,0.919687999,0.829219716,
large_complex,SIRS,0.2,0.9,0,0.9,0.00351933,0.855012975,0.001631568,0.00195275,0.787476794,nan,0.925832147,0.735232304,
